"ensembl_gene_id" "external_gene_name" "chromosome_name" "start_position" "end_position" "description"
"ENSXETG00000042295" "" "Chr3" 139191005 139192747 ""
"ENSXETG00000010874" "cntnap4" "Chr1" 137062498 137219432 "contactin associated protein family member 4 [Source:Xenbase;Acc:XB-GENE-6052455]"
"ENSXETG00000042639" "gpalpp1" "Chr2" 133783208 133804979 "GPALPP motifs containing 1 [Source:Xenbase;Acc:XB-GENE-989473]"
"ENSXETG00000049106" "" "Chr3" 37783469 37784940 ""
"ENSXETG00000032807" "tbx15" "Chr2" 2113889 2155161 "T-box 15 [Source:Xenbase;Acc:XB-GENE-483924]"
"ENSXETG00000034860" "MSRB3" "Chr3" 57609663 57689661 "methionine sulfoxide reductase B3 [Source:HGNC Symbol;Acc:HGNC:27375]"
"ENSXETG00000021714" "rtkn" "Chr1" 6860652 6892595 "rhotekin [Source:NCBI gene (formerly Entrezgene);Acc:100124981]"
"ENSXETG00000048119" "" "Chr3" 145720918 145729291 ""
"ENSXETG00000024551" "scel" "Chr2" 125998608 126044305 "sciellin [Source:Xenbase;Acc:XB-GENE-998743]"
"ENSXETG00000014471" "atm" "Chr2" 159833811 159932524 "ATM serine/threonine kinase [Source:Xenbase;Acc:XB-GENE-493810]"
"ENSXETG00000000646" "clec4m" "Chr3" 136049379 136063170 "C-type lectin domain family 4 member M [Source:Xenbase;Acc:XB-GENE-6043650]"
"ENSXETG00000013488" "nle1" "Chr2" 93251289 93270967 "notchless homolog 1 [Source:Xenbase;Acc:XB-GENE-984059]"
"ENSXETG00000041621" "resf1" "Chr3" 4993787 5021379 "retroelement silencing factor 1 [Source:Xenbase;Acc:XB-GENE-22069065]"
"ENSXETG00000043783" "" "Chr3" 135020198 135023944 ""
"ENSXETG00000046198" "" "Chr3" 37843939 37846407 ""
"ENSXETG00000001112" "nhs" "Chr2" 94849453 94966717 "NHS actin remodeling regulator [Source:Xenbase;Acc:XB-GENE-5872334]"
"ENSXETG00000048470" "crygdl.43" "Chr1" 105277743 105280123 "crystallin gamma D like 43 [Source:Xenbase;Acc:XB-GENE-6456570]"
"ENSXETG00000047875" "tnfsf12" "Chr3" 147492267 147522518 "TNF superfamily member 12 [Source:Xenbase;Acc:XB-GENE-22069346]"
"ENSXETG00000018003" "" "Chr1" 84277003 84346271 ""
"ENSXETG00000004782" "gdnf" "Chr1" 197529393 197549919 "glial cell derived neurotrophic factor [Source:Xenbase;Acc:XB-GENE-483795]"
"ENSXETG00000049065" "" "Chr1" 9348791 9360805 ""
"ENSXETG00000036646" "" "Chr1" 142209451 142210383 ""
"ENSXETG00000042569" "" "Chr1" 212331608 212492387 ""
"ENSXETG00000024287" "fah" "Chr3" 118575492 118591366 "fumarylacetoacetate hydrolase (fumarylacetoacetase) [Source:Xenbase;Acc:XB-GENE-964392]"
"ENSXETG00000005248" "XB5960519 [provisional]" "Chr2" 86487687 86497955 "uncharacterized XB5960519 [Source:Xenbase;Acc:XB-GENE-5960520]"
"ENSXETG00000000645" "fbxl12" "Chr3" 136069791 136075495 "F-box and leucine-rich repeat protein 12 [Source:Xenbase;Acc:XB-GENE-942694]"
"ENSXETG00000041993" "" "Chr3" 38289713 38291701 ""
"ENSXETG00000045363" "" "Chr3" 135235825 135236217 ""
"ENSXETG00000014559" "thtpa" "Chr1" 139873644 139879348 "thiamine triphosphatase [Source:Xenbase;Acc:XB-GENE-974251]"
"ENSXETG00000036460" "nat8.6" "Chr1" 16144976 16165581 "N-acetyltransferase 8 6 [Source:Xenbase;Acc:XB-GENE-22166529]"
"ENSXETG00000045506" "" "Chr1" 142214984 142227823 ""
"ENSXETG00000044777" "" "Chr1" 212377236 212378695 ""
"ENSXETG00000014951" "" "Chr3" 147527105 147536087 ""
"ENSXETG00000011565" "mdfic" "Chr3" 67456340 67510675 "MyoD family inhibitor domain containing [Source:Xenbase;Acc:XB-GENE-494590]"
"ENSXETG00000035904" "" "Chr2" 623178 659308 ""
"ENSXETG00000013060" "exosc3" "Chr1" 113701967 113710618 "exosome component 3 [Source:Xenbase;Acc:XB-GENE-966926]"
"ENSXETG00000038162" "bcl2l10" "Chr3" 102081204 102085037 "BCL2 like 10 [Source:Xenbase;Acc:XB-GENE-1032990]"
"ENSXETG00000047589" "" "Chr3" 39357640 39359028 ""
"ENSXETG00000042164" "h4c3" "Chr3" 135239879 135240190 "H4 clustered histone 3 [Source:Xenbase;Acc:XB-GENE-6000762]"
"ENSXETG00000022426" "ydjc" "Chr1" 153804557 153812588 "YdjC chitooligosaccharide deacetylase homolog [Source:Xenbase;Acc:XB-GENE-941275]"
"ENSXETG00000012422" "tmprss15" "Chr2" 20167814 20365931 "transmembrane serine protease 15 [Source:Xenbase;Acc:XB-GENE-999987]"
"ENSXETG00000012668" "espl1" "Chr2" 147143050 147170562 "extra spindle pole bodies like 1, separase [Source:Xenbase;Acc:XB-GENE-1004361]"
"ENSXETG00000027416" "xbp1" "Chr1" 166343622 166355244 "X-box binding protein 1 [Source:Xenbase;Acc:XB-GENE-487124]"
"ENSXETG00000048397" "" "Chr1" 66202 67392 ""
"ENSXETG00000037863" "" "Chr3" 5078405 5080961 ""
"ENSXETG00000017086" "tnnt2" "Chr2" 63739013 63768033 "troponin T2, cardiac type [Source:Xenbase;Acc:XB-GENE-482614]"
"ENSXETG00000026399" "dsn1" "Chr3" 136155017 136180342 "DSN1 homolog, MIS12 kinetochore complex component [Source:Xenbase;Acc:XB-GENE-6257745]"
"ENSXETG00000042643" "" "Chr1" 212400597 212402816 ""
"ENSXETG00000035197" "adra1a" "Chr3" 118609048 118650602 "adrenoceptor alpha 1A [Source:Xenbase;Acc:XB-GENE-6048410]"
"ENSXETG00000016639" "lsamp" "Chr2" 4303569 5627073 "limbic system associated membrane protein [Source:Xenbase;Acc:XB-GENE-5759171]"
"ENSXETG00000048900" "" "Chr3" 107238457 107239675 ""
"ENSXETG00000038803" "zfhx2" "Chr1" 139880603 139934052 "zinc finger homeobox 2 [Source:Xenbase;Acc:XB-GENE-485321]"
"ENSXETG00000032595" "ulk2" "Chr2" 93282777 93356301 "unc-51 like autophagy activating kinase 2 [Source:Xenbase;Acc:XB-GENE-6041491]"
"ENSXETG00000001114" "rai2" "Chr2" 95052678 95105630 "retinoic acid induced 2 [Source:Xenbase;Acc:XB-GENE-965588]"
"ENSXETG00000046594" "" "Chr1" 142245059 142260767 ""
"ENSXETG00000037652" "uqcr11" "Chr1" 98689702 98694066 "ubiquinol-cytochrome c reductase, complex III subunit XI [Source:Xenbase;Acc:XB-GENE-992168]"
"ENSXETG00000043306" "" "Chr3" 135257578 135257889 ""
"ENSXETG00000046225" "" "Chr3" 39363874 39367845 ""
"ENSXETG00000036075" "ciao2a" "Chr3" 118164870 118177357 "cytosolic iron-sulfur assembly component 2A [Source:Xenbase;Acc:XB-GENE-5812283]"
"ENSXETG00000005702" "rpia" "Chr1" 9415769 9432280 "ribose 5-phosphate isomerase A [Source:Xenbase;Acc:XB-GENE-995580]"
"ENSXETG00000014528" "acss3" "Chr3" 52613456 52670549 "acyl-CoA synthetase short chain family member 3 [Source:Xenbase;Acc:XB-GENE-6035224]"
"ENSXETG00000016431" "fcho1" "Chr1" 111171594 111232869 "FFCH and mu domain containing endocytic adaptor 1 [Source:Xenbase;Acc:XB-GENE-5946032]"
"ENSXETG00000046822" "" "Chr1" 78453 80875 ""
"ENSXETG00000012937" "" "Chr3" 146816398 146825834 ""
"ENSXETG00000016462" "rars1" "Chr3" 33562758 33687132 "arginyl-tRNA synthetase 1 [Source:Xenbase;Acc:XB-GENE-955966]"
"ENSXETG00000038449" "" "Chr3" 109817574 109826059 ""
"ENSXETG00000045329" "" "Chr3" 39782344 39783774 ""
"ENSXETG00000042357" "" "Chr3" 128252921 128254540 ""
"ENSXETG00000048561" "" "Chr3" 135263301 135263681 ""
"ENSXETG00000031469" "" "Chr1" 16148933 16150341 ""
"ENSXETG00000036724" "" "Chr2" 172314793 172321685 ""
"ENSXETG00000002577" "fhl2" "Chr2" 111693840 111737103 "four and a half LIM domains 2 [Source:Xenbase;Acc:XB-GENE-969632]"
"ENSXETG00000043062" "crygdl.44" "Chr1" 105284206 105285344 "crystallin gamma D like 44 [Source:Xenbase;Acc:XB-GENE-22169168]"
"ENSXETG00000033405" "cbr1.3" "Chr2" 13407443 13424446 "carbonyl reductase 1, 1 [Source:Xenbase;Acc:XB-GENE-946532]"
"ENSXETG00000048322" "fam166b" "Chr1" 212668948 212675785 "family with sequence similarity 166 member B [Source:Xenbase;Acc:XB-GENE-6456701]"
"ENSXETG00000047317" "" "Chr3" 136220110 136223163 ""
"ENSXETG00000048140" "" "Chr3" 40455680 40456702 ""
"ENSXETG00000001207" "bri3bp" "Chr1" 160065903 160077991 "BRI3 binding protein [Source:Xenbase;Acc:XB-GENE-943691]"
"ENSXETG00000044721" "amn1" "Chr3" 5089263 5107904 "antagonist of mitotic exit network 1 homolog [Source:Xenbase;Acc:XB-GENE-6033309]"
"ENSXETG00000045102" "" "Chr1" 109576080 109592541 ""
"ENSXETG00000035501" "nucks1" "Chr2" 73451671 73493027 "nuclear casein kinase and cyclin-dependent kinase substrate 1 [Source:Xenbase;Acc:XB-GENE-490974]"
"ENSXETG00000013841" "lemd3" "Chr3" 57697669 57718344 "LEM domain containing 3 [Source:Xenbase;Acc:XB-GENE-486033]"
"ENSXETG00000042790" "" "Chr3" 135370564 135373359 ""
"ENSXETG00000012669" "mfsd5" "Chr2" 147176613 147190025 "major facilitator superfamily domain containing 5 [Source:Xenbase;Acc:XB-GENE-967131]"
"ENSXETG00000017085" "pkp1" "Chr2" 63773963 63783206 ""
"ENSXETG00000013484" "aldh3a2" "Chr2" 93365646 93378383 "aldehyde dehydrogenase 3 family member A2 [Source:Xenbase;Acc:XB-GENE-942662]"
"ENSXETG00000001116" "scml2" "Chr2" 95110871 95175226 "Scm  polycomb group protein like 2 [Source:Xenbase;Acc:XB-GENE-6043728]"
"ENSXETG00000016436" "b3gnt3.2" "Chr1" 111331184 111354513 "UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3, 2 [Source:Xenbase;Acc:XB-GENE-996589]"
"ENSXETG00000014943" "wrap53" "Chr3" 147541377 147550049 "WD repeat containing, antisense to TP53 [Source:Xenbase;Acc:XB-GENE-5947963]"
"ENSXETG00000013593" "mbd3" "Chr1" 98703382 98715539 "methyl-CpG binding domain protein 3 [Source:Xenbase;Acc:XB-GENE-491553]"
"ENSXETG00000047719" "nat8.5" "Chr1" 16158317 16182111 "N-acetyltransferase 8 5 [Source:Xenbase;Acc:XB-GENE-6464258]"
"ENSXETG00000045119" "" "Chr3" 40857999 40859277 ""
"ENSXETG00000018564" "sdf2l1" "Chr1" 153821864 153827139 "stromal cell-derived factor 2-like 1 [Source:Xenbase;Acc:XB-GENE-970744]"
"ENSXETG00000039549" "h2bc11" "Chr3" 135381354 135381985 "H2B clustered histone 11 [Source:Xenbase;Acc:XB-GENE-5717971]"
"ENSXETG00000031483" "dnah6" "Chr1" 84350204 84507880 "dynein, axonemal, heavy chain 6 [Source:Xenbase;Acc:XB-GENE-6050691]"
"ENSXETG00000001202" "dhx37" "Chr1" 160080428 160107241 "DEAH-box helicase 37 [Source:Xenbase;Acc:XB-GENE-986494]"
"ENSXETG00000017653" "sds" "Chr1" 146201753 146216493 "serine dehydratase [Source:Xenbase;Acc:XB-GENE-921978]"
"ENSXETG00000005247" "eif3i" "Chr2" 86497367 86511394 "eukaryotic translation initiation factor 3 subunit I [Source:Xenbase;Acc:XB-GENE-974377]"
"ENSXETG00000015156" "adam9" "Chr3" 131819750 131862095 "ADAM metallopeptidase domain 9 [Source:Xenbase;Acc:XB-GENE-976453]"
"ENSXETG00000044684" "" "Chr1" 9453829 9588444 ""
"ENSXETG00000022564" "ap1g2" "Chr1" 139938949 139957746 "adaptor related protein complex 1 subunit gamma 2 [Source:Xenbase;Acc:XB-GENE-995680]"
"ENSXETG00000037887" "etfbkmt" "Chr3" 5105743 5107731 "electron transfer flavoprotein subunit beta lysine methyltransferase [Source:Xenbase;Acc:XB-GENE-5900998]"
"ENSXETG00000042783" "" "Chr3" 41414024 41419726 ""
"ENSXETG00000048216" "" "Chr1" 212680332 212689440 ""
"ENSXETG00000046130" "" "Chr2" 63782325 63792523 ""
"ENSXETG00000042436" "" "Chr1" 111357464 111359137 ""
"ENSXETG00000043222" "" "Chr2" 95141866 95163003 ""
"ENSXETG00000004784" "emx2" "Chr1" 197588959 197754600 "empty spiracles homeobox 2 [Source:Xenbase;Acc:XB-GENE-481028]"
"ENSXETG00000046975" "h3c14" "Chr3" 135383590 135384000 "H3 clustered histone 14 [Source:NCBI gene (formerly Entrezgene);Acc:549390]"
"ENSXETG00000034920" "coq10a" "Chr2" 137318613 137333367 "coenzyme Q10A [Source:Xenbase;Acc:XB-GENE-5803032]"
"ENSXETG00000026704" "nat8.7" "Chr1" 16168016 16171772 "N-acetyltransferase 8 7 [Source:Xenbase;Acc:XB-GENE-5780700]"
"ENSXETG00000014476" "npat" "Chr2" 159897942 159917917 "nuclear protein, ataxia-telangiectasia locus [Source:Xenbase;Acc:XB-GENE-6460505]"
"ENSXETG00000042376" "" "Chr3" 41557833 41559632 ""
"ENSXETG00000043045" "" "Chr1" 198492978 198513427 ""
"ENSXETG00000025297" "spg11" "Chr3" 118177436 118202121 "SPG11, spatacsin vesicle trafficking associated [Source:Xenbase;Acc:XB-GENE-5868352]"
"ENSXETG00000041786" "" "Chr1" 105289167 105290290 ""
"ENSXETG00000005850" "tac1" "Chr3" 136244461 136409986 "tachykinin 1 [Source:Xenbase;Acc:XB-GENE-956662]"
"ENSXETG00000038097" "rflcii" "Chr1" 111367452 111373464 "relaxin family locus C type II [Source:Xenbase;Acc:XB-GENE-5794248]"
"ENSXETG00000046040" "" "Chr3" 135509784 135510095 ""
"ENSXETG00000034107" "STRC" "Chr3" 107356483 107383367 "stereocilin [Source:HGNC Symbol;Acc:HGNC:16035]"
"ENSXETG00000014175" "vwa5a" "Chr1" 212717593 212750750 "von Willebrand factor A domain containing 5A [Source:Xenbase;Acc:XB-GENE-5898460]"
"ENSXETG00000024209" "chchd3" "Chr3" 85995746 86055757 "coiled-coil-helix-coiled-coil-helix domain containing 3 [Source:Xenbase;Acc:XB-GENE-1014488]"
"ENSXETG00000020893" "spag17" "Chr2" 2302074 2429829 "sperm associated antigen 17 [Source:Xenbase;Acc:XB-GENE-6257510]"
"ENSXETG00000040313" "" "Chr1" 9463927 9468867 ""
"ENSXETG00000009413" "rad52" "Chr3" 9640832 9658753 "RAD52 homolog, DNA repair protein [Source:Xenbase;Acc:XB-GENE-991154]"
"ENSXETG00000047377" "" "Chr3" 44178685 44180040 ""
"ENSXETG00000044961" "" "Chr1" 99825 112887 ""
"ENSXETG00000003857" "sms" "Chr2" 44418863 44478068 "spermine synthase [Source:Xenbase;Acc:XB-GENE-953534]"
"ENSXETG00000036534" "" "Chr2" 137338319 137347721 ""
"ENSXETG00000035098" "" "Chr3" 148383041 148384432 ""
"ENSXETG00000024739" "zdhhc12" "Chr3" 98174146 98179530 "zinc finger DHHC-type containing 12 [Source:Xenbase;Acc:XB-GENE-1216126]"
"ENSXETG00000019216" "XB5957215 [provisional]" "Chr1" 76581572 76631238 "melanopsin-B-like [Source:Xenbase;Acc:XB-GENE-5957216]"
"ENSXETG00000038679" "" "Chr3" 145856617 145858644 ""
"ENSXETG00000017042" "trim45" "Chr2" 659563 668964 "tripartite motif containing 45 [Source:Xenbase;Acc:XB-GENE-997848]"
"ENSXETG00000044704" "" "Chr3" 135589867 135590178 ""
"ENSXETG00000035566" "tmem234" "Chr2" 86511433 86514779 "transmembrane protein 234 [Source:Xenbase;Acc:XB-GENE-979069]"
"ENSXETG00000046062" "" "Chr3" 44546127 44548058 ""
"ENSXETG00000025359" "SPEF2" "Chr1" 198538850 198646493 "sperm flagellar 2 [Source:HGNC Symbol;Acc:HGNC:26293]"
"ENSXETG00000039680" "uqcc3" "Chr2" 137352676 137357336 "ubiquinol-cytochrome c reductase complex assembly factor 3 [Source:Xenbase;Acc:XB-GENE-6462293]"
"ENSXETG00000014132" "setd4" "Chr2" 13423218 13433968 "SET domain containing 4 [Source:Xenbase;Acc:XB-GENE-5772357]"
"ENSXETG00000039150" "" "Chr1" 9506773 9507807 ""
"ENSXETG00000045645" "" "Chr3" 44551868 44552878 ""
"ENSXETG00000048482" "" "Chr3" 135651373 135651753 ""
"ENSXETG00000015053" "gdpd5" "Chr2" 172373799 172523689 "glycerophosphodiester phosphodiesterase domain containing 5 [Source:Xenbase;Acc:XB-GENE-5789660]"
"ENSXETG00000042714" "" "Chr2" 93381740 93411498 ""
"ENSXETG00000014155" "dnajb5" "Chr1" 212776225 212794748 "DnaJ heat shock protein family (Hsp40) member B5 [Source:Xenbase;Acc:XB-GENE-995211]"
"ENSXETG00000044006" "" "Chr2" 4959956 4961474 ""
"ENSXETG00000033002" "" "Chr3" 145903228 145910284 ""
"ENSXETG00000005246" "khdrbs1" "Chr2" 86522355 86535717 "KH domain containing, RNA binding, signal transduction associated 1 [Source:Xenbase;Acc:XB-GENE-479347]"
"ENSXETG00000047474" "" "Chr3" 44930587 44932620 ""
"ENSXETG00000035331" "" "Chr1" 9510359 9511552 ""
"ENSXETG00000044731" "" "Chr3" 136579828 136639155 ""
"ENSXETG00000036976" "" "Chr2" 133811851 133813116 ""
"ENSXETG00000043140" "" "Chr1" 196306858 196307722 ""
"ENSXETG00000019047" "dok1" "Chr1" 130016 194447 "docking protein 1 [Source:Xenbase;Acc:XB-GENE-5968250]"
"ENSXETG00000044354" "h3c14" "Chr3" 135653376 135653786 "H3 clustered histone 14 [Source:NCBI gene (formerly Entrezgene);Acc:549390]"
"ENSXETG00000035686" "bend2" "Chr2" 94986124 95011064 "BEN domain containing 2 [Source:Xenbase;Acc:XB-GENE-22068020]"
"ENSXETG00000040904" "mex3d" "Chr1" 98729658 98734589 "mex-3 RNA binding family member D [Source:NCBI gene (formerly Entrezgene);Acc:100144717]"
"ENSXETG00000034081" "cul5" "Chr2" 159944012 159972314 "cullin 5 [Source:Xenbase;Acc:XB-GENE-484069]"
"ENSXETG00000017657" "plbd2" "Chr1" 146218508 146234828 "phospholipase B domain containing 2 [Source:Xenbase;Acc:XB-GENE-992746]"
"ENSXETG00000016438" "jak3" "Chr1" 111374402 111444149 "Janus kinase 3 (a protein tyrosine kinase, leukocyte) [Source:Xenbase;Acc:XB-GENE-5904698]"
"ENSXETG00000012670" "rarg" "Chr2" 147251370 147368757 "retinoic acid receptor gamma [Source:Xenbase;Acc:XB-GENE-484127]"
"ENSXETG00000046115" "" "Chr1" 98069313 98070570 ""
"ENSXETG00000003689" "XB5796436 [provisional:mgst3]" "Chr2" 89636396 89647136 "provisional ortholog of microsomal glutathione S-transferase 3 [Source:Xenbase;Acc:XB-GENE-5796437]"
"ENSXETG00000002680" "dennd5b" "Chr3" 5117583 5181452 "DENN/MADD domain containing 5B [Source:Xenbase;Acc:XB-GENE-1009600]"
"ENSXETG00000047454" "" "Chr3" 44949193 44950542 ""
"ENSXETG00000037589" "" "Chr1" 9515682 9516664 ""
"ENSXETG00000046220" "igsf11" "Chr2" 6161221 6326446 "immunoglobulin superfamily member 11 [Source:Xenbase;Acc:XB-GENE-953808]"
"ENSXETG00000037846" "" "Chr1" 212806643 212810672 ""
"ENSXETG00000045405" "" "Chr3" 135663303 135663695 ""
"ENSXETG00000017990" "ptpn9l" "Chr1" 84517266 84557207 "protein tyrosine phosphatase non-receptor type 9-like [Source:Xenbase;Acc:XB-GENE-5815286]"
"ENSXETG00000011444" "ppic" "Chr1" 169410617 169428318 "peptidylprolyl isomerase C (cyclophilin C) [Source:Xenbase;Acc:XB-GENE-948735]"
"ENSXETG00000010657" "tmem106c" "Chr2" 143764862 143778025 "transmembrane protein 106C [Source:Xenbase;Acc:XB-GENE-1015542]"
"ENSXETG00000035764" "" "Chr1" 139957729 139985838 ""
"ENSXETG00000036901" "gtf2f2" "Chr2" 133831342 133926870 "ral transcription factor IIF subunit 2 [Source:Xenbase;Acc:XB-GENE-855679]"
"ENSXETG00000041593" "" "Chr1" 9522820 9523800 ""
"ENSXETG00000031880" "fis1" "Chr3" 148606023 148616576 "fission, mitochondrial 1 [Source:Xenbase;Acc:XB-GENE-1008812]"
"ENSXETG00000043872" "" "Chr2" 13621543 13623364 ""
"ENSXETG00000044565" "" "Chr3" 45595679 45596695 ""
"ENSXETG00000002052" "chodl" "Chr2" 20374548 20433467 "chondrolectin [Source:Xenbase;Acc:XB-GENE-1010975]"
"ENSXETG00000048747" "" "Chr3" 135665758 135666069 ""
"ENSXETG00000012763" "pced1a" "Chr1" 16202951 16236412 "PC-esterase domain containing 1A [Source:Xenbase;Acc:XB-GENE-5753236]"
"ENSXETG00000013842" "wif1" "Chr3" 57733190 57759866 "WNT inhibitory factor 1 [Source:Xenbase;Acc:XB-GENE-486515]"
"ENSXETG00000005243" "tmem39b" "Chr2" 86541886 86551648 "transmembrane protein 39B [Source:Xenbase;Acc:XB-GENE-5904816]"
"ENSXETG00000015130" "cacna1s" "Chr2" 63824635 63908508 "calcium channel, voltage-dependent, L type, alpha 1S subunit [Source:Xenbase;Acc:XB-GENE-5823874]"
"ENSXETG00000037496" "" "Chr1" 9526724 9527532 ""
"ENSXETG00000000709" "prlr" "Chr1" 199102436 199128930 "prolactin receptor [Source:Xenbase;Acc:XB-GENE-494789]"
"ENSXETG00000044650" "" "Chr3" 45701924 45707465 ""
"ENSXETG00000009777" "socs6" "Chr2" 135539229 135552426 "transmembrane BAX inhibitor motif containing 6 [Source:Xenbase;Acc:XB-GENE-952610]"
"ENSXETG00000045293" "" "Chr3" 135756508 135756819 ""
"ENSXETG00000038825" "phex" "Chr2" 44502998 44622940 "phosphate regulating endopeptidase homolog X-linked [Source:Xenbase;Acc:XB-GENE-1012247]"
"ENSXETG00000035680" "kctd4" "Chr2" 133875193 133878014 "potassium channel tetramerization domain containing 4 [Source:Xenbase;Acc:XB-GENE-967658]"
"ENSXETG00000038458" "ccdc117" "Chr1" 166373968 166383047 "coiled-coil domain containing 117 [Source:Xenbase;Acc:XB-GENE-22068162]"
"ENSXETG00000020342" "lrrc49" "Chr3" 98179364 98230897 "leucine rich repeat containing 49 [Source:Xenbase;Acc:XB-GENE-1011788]"
"ENSXETG00000038696" "" "Chr1" 33368563 33382173 ""
"ENSXETG00000023029" "upk1b" "Chr2" 6426300 6436866 "uroplakin 1B [Source:Xenbase;Acc:XB-GENE-988025]"
"ENSXETG00000041881" "eif3j" "Chr3" 118204098 118216759 "eukaryotic translation initiation factor 3 subunit J [Source:Xenbase;Acc:XB-GENE-999878]"
"ENSXETG00000043244" "" "Chr3" 46073650 46074744 ""
"ENSXETG00000040342" "" "Chr2" 789842 946961 ""
"ENSXETG00000041538" "ubc" "Chr1" 160133738 160138475 "ubiquitin C [Source:Xenbase;Acc:XB-GENE-6066017]"
"ENSXETG00000047958" "" "Chr2" 123891145 123892064 ""
"ENSXETG00000038189" "" "Chr1" 9536372 9557993 ""
"ENSXETG00000043627" "" "Chr3" 135767193 135767504 ""
"ENSXETG00000049346" "" "Chr3" 148611917 148615094 ""
"ENSXETG00000008149" "nfic" "Chr1" 98087246 98161170 "nuclear factor I C [Source:Xenbase;Acc:XB-GENE-484367]"
"ENSXETG00000017985" "anxa3" "Chr1" 84565868 84588424 "annexin A3 [Source:Xenbase;Acc:XB-GENE-953000]"
"ENSXETG00000020338" "tapt1" "Chr1" 28106189 28329085 "transmembrane anterior posterior transformation 1 [Source:Xenbase;Acc:XB-GENE-5742749]"
"ENSXETG00000005855" "krt12.3" "Chr3" 136775062 136794675 "peptidylprolyl cis/trans isomerase, NIMA-interacting 1 [Source:Xenbase;Acc:XB-GENE-856254]"
"ENSXETG00000047732" "" "Chr3" 46448691 46449710 ""
"ENSXETG00000025788" "vcp" "Chr1" 212816178 212828583 "valosin containing protein [Source:Xenbase;Acc:XB-GENE-969573]"
"ENSXETG00000014532" "ppfia2" "Chr3" 52674261 52883031 "protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 2 [Source:Xenbase;Acc:XB-GENE-6041782]"
"ENSXETG00000014661" "tpt1" "Chr2" 133934282 133938244 "tumor protein, translationally-controlled 1 [Source:Xenbase;Acc:XB-GENE-854747]"
"ENSXETG00000043391" "" "Chr3" 134031936 134033660 ""
"ENSXETG00000045830" "" "Chr1" 9560311 9566175 ""
"ENSXETG00000014811" "rnf180" "Chr1" 188353773 188404632 "ring finger protein 180 [Source:Xenbase;Acc:XB-GENE-1011560]"
"ENSXETG00000014482" "slc35f2" "Chr2" 159987114 160013721 "solute carrier family 35 member F2 [Source:Xenbase;Acc:XB-GENE-985934]"
"ENSXETG00000043964" "" "Chr3" 46731912 46733231 ""
"ENSXETG00000014519" "brd1" "Chr3" 72515290 72544118 "bromodomain containing 1 [Source:Xenbase;Acc:XB-GENE-949377]"
"ENSXETG00000012671" "itgb7" "Chr2" 147381934 147433952 "integrin subunit beta 7 [Source:Xenbase;Acc:XB-GENE-1012435]"
"ENSXETG00000034931" "" "Chr3" 148664034 148685634 ""
"ENSXETG00000045889" "" "Chr3" 69606267 69607289 ""
"ENSXETG00000016434" "tenm2" "Chr3" 33753833 34466320 "teneurin transmembrane protein 2 [Source:Xenbase;Acc:XB-GENE-5799894]"
"ENSXETG00000043988" "" "Chr3" 3216214 3219228 ""
"ENSXETG00000022577" "carmil3" "Chr1" 140001215 140056843 "capping protein regulator and myosin 1 linker 3 [Source:Xenbase;Acc:XB-GENE-5845745]"
"ENSXETG00000016124" "alcam" "Chr2" 102970301 103013151 "activated leukocyte cell adhesion molecule [Source:Xenbase;Acc:XB-GENE-491704]"
"ENSXETG00000010934" "lrp1" "Chr2" 139399477 139574894 "LDL receptor related protein 1 [Source:Xenbase;Acc:XB-GENE-479843]"
"ENSXETG00000026713" "" "Chr1" 9568036 9576183 ""
"ENSXETG00000025318" "" "Chr2" 172544148 172545959 ""
"ENSXETG00000045305" "" "Chr3" 6315531 6319184 ""
"ENSXETG00000040262" "" "Chr3" 71225710 71227503 ""
"ENSXETG00000044987" "" "Chr2" 160002910 160004098 ""
"ENSXETG00000024657" "sarnp" "Chr2" 138174202 138212713 "SAP domain containing ribonucleoprotein [Source:Xenbase;Acc:XB-GENE-5835037]"
"ENSXETG00000005242" "kpna6" "Chr2" 86569395 86584887 "karyopherin alpha 6 (importin alpha 7) [Source:Xenbase;Acc:XB-GENE-946491]"
"ENSXETG00000034820" "runx1" "Chr2" 13809532 13975751 "RUNX family transcription factor 1 [Source:Xenbase;Acc:XB-GENE-483164]"
"ENSXETG00000013546" "slc5a5" "Chr1" 111451022 111487219 "solute carrier family 5 member 5 [Source:Xenbase;Acc:XB-GENE-486472]"
"ENSXETG00000009503" "ankrd52" "Chr2" 137352691 137397955 "ankyrin repeat domain 52 [Source:Xenbase;Acc:XB-GENE-1002005]"
"ENSXETG00000043325" "" "Chr3" 7297617 7299632 ""
"ENSXETG00000027690" "icam5" "Chr3" 137542355 137577988 "intercellular adhesion molecule 5 [Source:Xenbase;Acc:XB-GENE-963198]"
"ENSXETG00000037699" "" "Chr3" 71604835 71605989 ""
"ENSXETG00000024732" "arhgap31" "Chr2" 6447181 6538052 "Rho GTPase activating protein 31 [Source:Xenbase;Acc:XB-GENE-6467299]"
"ENSXETG00000047885" "sinhcaf" "Chr3" 5184053 5193770 "SIN3-HDAC complex associated factor [Source:Xenbase;Acc:XB-GENE-995755]"
"ENSXETG00000030201" "angptl6" "Chr3" 136796886 136805015 "angiopoietin like 6 [Source:Xenbase;Acc:XB-GENE-984990]"
